,time,order,order_kind,function_code,order_price,order_volume
1454,93235360,1376177,0,S,23500,10000
1455,93236560,1380220,0,S,22600,10000
1456,93237350,1383939,0,B,22400,5000
1457,93238080,1386447,0,S,24500,11000
1458,93238120,1386585,0,S,24800,1300
1459,93238170,1386749,0,S,23200,1000
1460,93239290,1390303,0,B,22500,10000
1461,93239630,1391430,0,B,22900,100
1462,93240700,1395448,0,S,22700,6600
1463,93240880,1395998,0,S,22700,2000
1464,93240960,1396229,0,S,22700,10000
1465,93241320,1397372,0,S,22500,200000
1466,93243170,1404250,0,S,22500,28000
1467,93243410,1405234,0,B,21000,1000
1468,93243660,1406199,0,B,22100,1000
1469,93243800,1406716,0,B,22000,3000
1470,93245450,1411906,0,S,22700,91500
1471,93245620,1412552,0,S,24600,1000
1472,93246980,1417716,0,B,22500,76000
1473,93246990,1417776,0,B,22300,9000
1474,93247250,1418727,0,B,21900,3000
1475,93247470,1419368,0,S,22500,66900
1476,93247560,1419628,0,S,22900,1200
1477,93247920,1420799,0,S,24800,600
1478,93248390,1422429,0,B,22400,1000
1479,93250270,1429549,0,S,23400,2000
1480,93250570,1430440,0,B,22500,2000
1481,93250890,1431439,0,B,22300,1000
1482,93250990,1431756,0,S,22500,2000
1483,93252050,1435260,0,B,22500,100
1484,93252060,1435301,0,B,22600,3400
1485,93252390,1436816,0,S,23000,5200
1486,93253670,1441078,0,B,22000,1000
1487,93254370,1443270,0,S,23200,20200
1488,93255110,1446057,0,S,24600,1000
1489,93257630,1455347,0,S,22600,47600
1490,93257980,1456987,0,B,22400,5000
1491,93258840,1460480,0,S,22900,5800
1492,93259210,1462158,0,S,22600,10000
1493,93300040,1465733,0,B,22000,200
1494,93300430,1467459,0,B,22500,5000
1495,93301170,1471786,0,S,23300,10000
1496,93301400,1473218,0,S,22600,4700
1497,93302770,1478917,0,B,22000,1100
1498,93304450,1486753,0,B,22200,20000
1499,93304750,1487865,0,B,22200,1000
1500,93305000,1488845,0,B,22500,10300
1501,93308240,1501937,0,S,22500,3100
1502,93309330,1505705,0,S,22500,1600
1503,93310200,1509717,0,S,22600,20000
1504,93311250,1513900,0,S,24800,10600
1505,93311780,1515666,0,S,22600,6000
1506,93312960,1520082,0,S,22800,5000
1507,93313930,1524016,0,S,22700,64300
1508,93314010,1524239,0,B,22500,20000
1509,93314150,1524761,0,S,22500,3000
1510,93314220,1525043,0,B,22500,900
1511,93316140,1531625,0,B,22200,3000
1512,93316910,1534430,0,S,23100,5000
1513,93317340,1535788,0,S,23000,2000
1514,93317830,1537439,0,S,24800,26300
1515,93318470,1539586,0,B,22500,35700
1516,93319820,1545117,0,B,22100,1000
1517,93320640,1548157,0,B,22300,200000
1518,93321920,1552504,0,B,21000,400
1519,93322020,1552912,1,S,0,2200
1520,93322040,1553037,0,S,22500,300
1521,93322210,1553945,0,S,24800,8100
1522,93323660,1558890,0,S,22700,3000
1523,93324840,1562746,0,B,22300,500
1524,93326800,1569852,0,B,22400,4500
1525,93328030,1574422,0,B,22500,100
1526,93328370,1576140,0,S,24800,10000
1527,93329790,1581133,0,S,22500,1200
1528,93331120,1586063,0,B,22500,8500
1529,93331330,1587153,1,S,0,3300
1530,93331710,1588650,0,S,22500,1200
1531,93332320,1590830,0,B,22300,1400
1532,93332880,1592628,0,S,22500,2000
1533,93333660,1595376,0,S,22500,7000
1534,93334600,1599774,0,B,22600,2000
1535,93334940,1601103,0,B,22500,1300
1536,93336290,1605681,1,S,0,5500
1537,93336990,1608774,0,B,22400,10000
1538,93337170,1609775,0,S,22700,1000
1539,93337800,1612605,0,S,22800,300
1540,93338530,1615009,0,B,23100,3300
1541,93338840,1616088,0,S,22900,2000
1542,93339610,1618893,0,S,22700,1000
1543,93339650,1619056,1,S,0,3300
1544,93340060,1620995,0,B,22400,1400
1545,93341630,1626789,0,S,22700,2000
1546,93342380,1629192,1,S,0,1100
1547,93343370,1633348,0,B,22500,3400
1548,93343440,1633650,0,S,23300,1500
1549,93343800,1634835,0,B,22100,10000
1550,93344190,1635967,0,B,22500,500
1551,93345690,1640715,0,B,20300,13500
1552,93346040,1642293,0,S,23200,1000
1553,93347020,1645726,0,S,22800,1000
